Number,1,Number,1
Type,Zero-Shot,Type,Zero-Shot
Goal,Code Summarization (Java),Goal,Code Summarization (Java)
Model,Codestral 25.01 Transcript,Model,OpenAI GPT-4o mini
Temperature: .7 Token Limit: 1024 Top-P .9,,Temperature: .7 Token Limit: 1024 Top-P .9,
Chat Data (Formatted Properly),,Chat Data (Formatted Properly),
,,,
Number,1,Number,1
Type,Prompt-Chaining,Type,Prompt-Chaining
Goal,Code Summarization (Java),Goal,Code Summarization (Java)
Model,Codestral 25.01 Transcript,Model,OpenAI GPT-4o mini
Temperature: .7 Token Limit: 1024 Top-P .9,,Temperature: .7 Token Limit: 1024 Top-P .9,
Chat Data,,Chat Data,
